Client Name,Client Code,Entry Date,Entered by ,Industry,Sub Industry,What do they do,Territory,Pursued Opportunity Value,Incorporation Type,Listed Company,Market Cap,Annual Revenue,Classification,Employee Strength,IT Employee Strength,Primary Relationship Holder,Secondary Relationship Holder,Relationship Status,Lifetime Value,Priority
Al Jazeera Finance,Q-AJF,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",NBFC - Non Banking Financial Company,"Also, Tamweel - Sharia Compliant financial solutions - Personel finance, SME finance, Islamic finance products","Doha, Qatar",0,Independent,Unlisted,Not Applicable,20 Million $,NICKEL (20M-50M $),80+ Employees,10 Employees,Praveen Gangadhar,Praveen Gangadhar,Well entrenched - Deep Relationships,0,Medium
Al Jazeera Media Network,Q-AJMN,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Media,Top Media Company of Qatar and Middle East,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,750 Million $,SILVER (500-1B$),500+ Employees,100+ employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Al Khaleej Takaful Insurance Company,Q-AKTI,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Insurance,"Leading sharia insurance and reinsurance provider in Qatar - motor, marine and aviation, fire, health, energy, and travel insurance","Doha, Qatar",0,Independent,Unlisted,Not Applicable,75 Million $,COPPER (50M-100M $),100+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Al Koot Insurance & Reinsurance Company,Q-AlKoot,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Insurance,Wholly-owned subsidiary of Gulf International Services (GIS),"Doha, Qatar",0,Subsidiary,Unlisted,Not Applicable,235 Million $,BRONZE (100-500M $),100+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Al Mahhar Holding Company,Q-Almahhar,13/02/25,Praveen Gangadhar,MAN&I : Manufacturing and Industrials,Holding Company,"Holding company primarily focused on the energy and infrastructure sectors - MRO Services, Fabrication, Construction, Equipment Leasing","Doha, Qatar",0,Publicly Listed,Listed,133 Million $,220 Million $,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Al Mana Group,Q-AlMana,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,55 companies in 8 countries and employing over 3500 personnel.,"Doha, Qatar",0,Family Owned,Unlisted,Not Applicable,1 Billion $,GOLD (1-10B $),"1,200+ Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Al Meera,Q-AlMeera,13/02/25,Praveen Gangadhar,CGR : Consumer Goods and Retail,FMCG,"Wholesale and retail services, trading of consumer goods.","Doha, Qatar",0,Publicly Listed,Listed,Not Applicable,780 Million $,SILVER (500-1B$),200+ Employees,20+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Al Rawabi,Q-Alrawabi,13/02/25,Praveen Gangadhar,CGR : Consumer Goods and Retail,FMCG,"One of Qatar's leading FMCG, food distribution, and restaurant chain companies","Doha, Qatar",0,Family Owned,Unlisted,Not Applicable,500 Million $,BRONZE (100-500M $),75+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Al Shaqri Holding Group,Q-AlShaqri,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,"Mobile Waterless Car Wash Services, Valet Parking Services, Recruitment Agency, Family Entertainment and Leisure, Event Tents","Doha, Qatar",0,Family Owned,Unlisted,Not Applicable,Not Disclosed,COPPER (50M-100M $),1000+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Al Wajba Motors,Q-Alwajba,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,"Premier luxury automotive dealership in Qatar -  official dealer of Bentley, Lamborghini, and Bugatti.","Doha, Qatar",0,Family Owned,Unlisted,Not Applicable,10 Million $,LEAD (0-20M),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Al Zaini Converting Industries,Q-AlZaini,13/02/25,Praveen Gangadhar,MAN&I : Manufacturing and Industrials,Manufacturing,"Manufacturing company based in Doha, Qatar. Specializing in the production of plastic and paper packaging solutions","Doha, Qatar",0,Family Owned,Unlisted,Not Applicable,14 Million $,LEAD (0-20M),100+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Al-Ahli Hospital,Q-AhliHos,13/02/25,Praveen Gangadhar,HCLS : Healthcare and Life Sciences,Hospitals -  100+ Beds,Qatar’s largest private healthcare facilities - 250 + Inpatient and 2000+ Outpatients. Owned by Zad holdings.,"Doha, Qatar",0,Subsidiary,Unlisted,Not Applicable,130 Million $,BRONZE (100-500M $),800+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
AL-ARQAM ACADEMY,Q-Alarqam,13/02/25,Praveen Gangadhar,NP&S : Not Profit and Services,Universities & Education,"Private educational institution, dedicated to providing quality education for female students from Kindergarten through Secondary levels.","Doha, Qatar",0,Independent,Unlisted,Not Applicable,1 Million $,LEAD (0-20M),50+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Alaqaria,Q-Alaqaria,13/02/25,Praveen Gangadhar,REC : Real Estate and Construction,Real Estate,"Qatar Real Estate Investment Co, Subsidiary of Barwa Real Estate","Doha, Qatar",0,Subsidiary,Unlisted,Not Applicable,Unknown,LEAD (0-20M),50+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ali Bin Ali,Q-AliBinAli,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,"Retail & Distribution, Trading & Logistics, Real Estate & Property Development, Hospitality & Tourism:","Doha, Qatar",0,Family Owned,Unlisted,Not Applicable,750 Million $,SILVER (500-1B$),"5,000+ Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,High
Alijarah Holding,Q-Alijarah,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,"Material transportation, property development and limousine services","Doha, Qatar",0,Publicly Listed,Listed,Not Applicable,20 Million $,LEAD (0-20M),25+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
AlJaber Group,UA-AlJaber,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,"Conglomerate  31 established global companie- engineering, construction, manufacturing, Logistics and Industrial and Trading","Abu Dhabi, UAE",0,Family Owned,Unlisted,Not Applicable,2 Billion $,GOLD (1-10B $),"40,000+ Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Alkass Sports Channels,Q-AlKass,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Media,Group of eleven sports channels that are broadcast 24/7 from Qatar.,"Doha, Qatar",0,Independent,Unlisted,Not Applicable,280 Million $,BRONZE (100-500M $),"1,400+ Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
ALMuftah Group,Q-AlMuftah,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,"Contracting, manufacturing, education, and lifestyle sectors","Doha, Qatar",0,Family Owned,Unlisted,Not Applicable,50 Million $,COPPER (50M-100M $),650+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Amiri Diwan,Q-AmiriDiwan,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Government Department,Official workplace and Administrative Center of the Amir of Qatar,"Doha, Qatar",0,Government Body,Unlisted,Not Applicable,Not Applicable,COPPER (50M-100M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Amiri Flight,Q-AmiriFlight,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Government Department,VIP airline owned and operated by the government of Qatar,"Doha, Qatar",0,Government Body,Unlisted,Not Applicable,Not Applicable,COPPER (50M-100M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Amiri Yachts,Q-AmiriYacts,13/02/25,Praveen Gangadhar,"LT&T : Logistics, Travel and Transport",Shipping,Private Yacht supplier based in Qatar providing management services to superyachts.,"Doha, Qatar",0,Government Body,Unlisted,Not Applicable,Unknown,COPPER (50M-100M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Amwaj,Q-Amwaj,13/02/25,Praveen Gangadhar,CGR : Consumer Goods and Retail,Food & Beverages,Top Hospitality in Qatar - Part of Q Companies that include all Oil and Gas firms of Qatar,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,110 Million $,BRONZE (100-500M $),"5,000+ Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Anti-Doping Lab,Q-ADLQ,13/02/25,Praveen Gangadhar,HCLS : Healthcare and Life Sciences,Labs,Labs for Olympics and Sports Medicine - Unique in Middle East,"Doha, Qatar",0,Independent,Unlisted,Not Applicable,10 Million $,LEAD (0-20M),100+ Employees,10+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Aspire Zone Foundation,Q-Aspire,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,"Aspire takes care of Aspire Logistics, Aspire Academy, Aspetar and Aspire Foundation","Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,500 Million $,SILVER (500-1B$),500+ Employees,100+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Baladna,Q-Baladna,13/02/25,Praveen Gangadhar,CGR : Consumer Goods and Retail,Food & Beverages,Top Diary products company based out of Qatar,"Doha, Qatar",0,Publicly Listed,Listed,Not Applicable,314 Million $,BRONZE (100-500M $),"1,500+ Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Barwa Real Estate,Q-BarwaRE,13/02/25,Praveen Gangadhar,REC : Real Estate and Construction,Real Estate,Qatar’s prominent real estate development companies,"Doha, Qatar",0,Publicly Listed,Listed,3 Billion $,500 Million $,SILVER (500-1B$),500+ Employees,20+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Barzan Holding,Q-BarzanHold,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,Commercial Gatway for Defence and Security dealings - Owned by Ministry of Defence ,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,Not Disclosed,COPPER (50M-100M $),200+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Behavioral Healthcare Center,Q-BHC,13/02/25,Praveen Gangadhar,HCLS : Healthcare and Life Sciences,Clinics - No Beds,"Part of MSDF - Wifaq, Dreama, Nama, Ehsan, Aman, Alnoor, Qatar Social Work (7 Entities)","Doha, Qatar",0,NGO / Foundation / Not For Profit,Unlisted,Not Applicable,Unknown,LEAD (0-20M),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Bein Media Group,Q-BEIN,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Media,"Sports Media owned by Qatar Sports Investments (QSI), which is a state-backed investment company in Qatar","Doha, Qatar",0,Independent,Unlisted,Not Applicable,1 Billion $,GOLD (1-10B $),3000+ Employees,20+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Civil Aviation Authority,Q-CAA,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Government Department,Government Body - Oversee Civil Aviation,"Doha, Qatar",0,Government Body,Unlisted,Not Applicable,77 Million $,COPPER (50M-100M $),638+ Employees,10+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Civil Service and Government Development Bureau,Q-CGB,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Ministry,Ministry of Qatar - They take care or Civil Services and Bureaucracy,"Doha, Qatar",0,Ministry,Unlisted,Not Applicable,Not Applicable,BRONZE (100-500M $),500+ Employees,20+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Commercial Bank,Q-CBQ,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Banking,"4th Largest Bank of Qatar in terms of Assets - Provides Retail, Corporate, Digital and Wealth Management","Doha, Qatar",0,Publicly Listed,Listed,Not Applicable,832 Million $,SILVER (500-1B$),"2,300+ Employees",20+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Communications Regulatory Authority,Q-CRA,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Government Department,"Regulates Telecom, Postal and ICT Sectors","Doha, Qatar",0,Government Body,Unlisted,Not Applicable,Not Applicable,COPPER (50M-100M $),118+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Community College of Qatar,Q-CCQ,13/02/25,Praveen Gangadhar,NP&S : Not Profit and Services,Universities & Education,Public College under MOE,"Doha, Qatar",0,NGO / Foundation / Not For Profit,Unlisted,Not Applicable,48 Million $,NICKEL (20M-50M $),436+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Damaan Islamic Insurance Company,Q-Damaan,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Insurance,Beema - Sharia-compliant (Takaful) insurance solutions for both individuals and businesses,"Doha, Qatar",0,Independent,Unlisted,Not Applicable,30 Million $,NICKEL (20M-50M $),55+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Damaan Islamic Insurance Company,Q-Beema,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Insurance,Islamic Insurance - now owned by QIC,"Doha, Qatar",0,Publicly Listed,Listed,220 Million $,90 Million $,COPPER (50M-100M $),50+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Darwish Holding,Q-DarwishHold,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,"Business services, investment, lifestyle, luxury, real estate","Doha, Qatar",0,Family Owned,Unlisted,Not Applicable,750 Million $,SILVER (500-1B$),"1,700 Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Diyar United,K-DiyarU,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Technology,ICT Service Provider based out of Kuwait but operating across GCC,"Kuwait City, Kuwait",0,Independent,Unlisted,Not Applicable,500 Million $,SILVER (500-1B$),"1,800 Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Dlala Brokerage and Investment Holding Company ,Q-Diala,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",NBFC - Non Banking Financial Company,"Brokerage activities at the Qatar Stock Exchange, real estate services, and other investment ventures.   ","Doha, Qatar",0,Publicly Listed,Listed,55 Million $,8 Million $,LEAD (0-20M),200+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Doha Bank,Q-DohaBank,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Banking,"3rd Largest bank in terms of Assets - Retail, Corporate, Treasury and Investments","Doha, Qatar",0,Publicly Listed,Listed,1.7 Billion $,230 Million $,BRONZE (100-500M $),1000+ Employees,50+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Doha Film Institute,Q-DFI,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Entertainment,Organises Film Festivals in Qatar,"Doha, Qatar",0,NGO / Foundation / Not For Profit,Unlisted,Not Applicable,13 Million $,LEAD (0-20M),100+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Doha Insurance Group,Q-DIG,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Insurance,Qatari shareholding company specializing in insurance and reinsurance - Corporate and Individual,"Doha, Qatar",0,Independent,Unlisted,Not Applicable,240 Million $,BRONZE (100-500M $),72+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Dolphin Energy Ltd,UA-Dolphin,13/02/25,Praveen Gangadhar,EUR : Energy Utility and Resources,Oil and Gas,Runs Dolphin Gas Project - transportation of natural gas from Qatar’s North Field to UAE and Oman,"Abu Dhabi, UAE",0,Semi Government,Unlisted,Not Applicable,1.6 Billion $,GOLD (1-10B $),"1,300+ Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Dukhan Bank,Q-Dukhan,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Banking,Smaller Bank - Retail and Corporate Banking,"Doha, Qatar",0,Publicly Listed,Listed,Not Applicable,350 Million $,BRONZE (100-500M $),580+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ebla,K-Ebla,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Technology,Leading IT solutions provider and systems integrator in the Middle East,"Kuwait City, Kuwait",0,Independent,Unlisted,Not Applicable,27 Million $,NICKEL (20M-50M $),440+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Economic Zones Company,Q-Manateq,13/02/25,Praveen Gangadhar,REC : Real Estate and Construction,Freezone,Manateq is the leading operator of industrial zones and logistics parks in Qatar - 13 zones are managed by them.,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,50 Million $,COPPER (50M-100M $),100+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Education Above All,Q-EAA,13/02/25,Praveen Gangadhar,NP&S : Not Profit and Services,Universities & Education,Global Foundation established by Sheikha Moza,"Doha, Qatar",0,NGO / Foundation / Not For Profit,Unlisted,Not Applicable,Not Applicable,LEAD (0-20M),50+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Elegancia Health,Q-Elegancia,13/02/25,Praveen Gangadhar,HCLS : Healthcare and Life Sciences,Hospitals -  100+ Beds,"Owned by Estithmar holding - 250 bed - 23,000 inpatients and more than 300,000 outpatients","Doha, Qatar",0,Subsidiary,Unlisted,Not Applicable,Not Applicable,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Es'hailSat,Q-QSatellite,13/02/25,Praveen Gangadhar,"LT&T : Logistics, Travel and Transport",Others,"Qatar Satellite Company -  premier satellite operator, established to manage and expand the nation’s presence in space","Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,15 Million $,LEAD (0-20M),88+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Estithmar Holding,Q-Esthithmar,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,"6 companies operating in 4 strategic sectors - Healthcare, Services, Real Estate Development and Specialized Contracting","Doha, Qatar",0,Publicly Listed,Listed,Not Applicable,1.15 Billion $,GOLD (1-10B $),"1,000+ Employees",30+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ezdan Holding Group,Q-EzdanHold,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Real Estate,"Real Estate, Property Management and Leasing, Strategic Investments and Hospitality / Leisure","Doha, Qatar",0,Publicly Listed,Listed,Not Applicable,250 Million $,BRONZE (100-500M $),"10,000+ Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Family Consulting Center,Q-WIFAQ,13/02/25,Praveen Gangadhar,NP&S : Not Profit and Services,Others,"Wifaq - Part of MSDF - Wifaq, Dreama, Nama, Ehsan, Aman, Alnoor, Qatar Social Work (7 Entities)","Doha, Qatar",0,NGO / Foundation / Not For Profit,Unlisted,Not Applicable,Not Applicable,LEAD (0-20M),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
General Authority for Minors Affairs,Q-GAMA,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Government Department,Goverment body - Welfare of Children and Youth,"Doha, Qatar",0,Government Body,Unlisted,Not Applicable,Not Applicable,COPPER (50M-100M $),100+ Employees,10+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
General Authority of Customs,Q-GAC,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Government Department,Ministry - Customs Nodal Agency,"Doha, Qatar",0,Government Body,Unlisted,Not Applicable,Not Applicable,COPPER (50M-100M $),200+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
General Directorate of Customs,Q-GDCustoms,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Government Department,Supervision of Imports and Exports,"Doha, Qatar",0,Government Body,Unlisted,Not Applicable,Not Applicable,COPPER (50M-100M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
General Retirement and Social Insurance Authority,Q-GRSIA,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Regulatory Body,"Govt body responsible for overseeing social security programs, retirement benefits and other social insurance schemes.","Doha, Qatar",0,Government Body,Unlisted,Not Applicable,Not Applicable,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
General Takaful,Q-GenTak,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Insurance,leading provider of Sharia-compliant insurance solutions,"Doha, Qatar",0,Independent,Unlisted,Not Applicable,10 Million $,LEAD (0-20M),110+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
General Tax Authority,Q-GTA,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Government Department,Government Body - Apex Tax body,"Doha, Qatar",0,Government Body,Unlisted,Not Applicable,Not Applicable,BRONZE (100-500M $),500+ Employees,20+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ghanim Bin Saad & Sons Group,Q-GSSG,13/02/25,Praveen Gangadhar,EUR : Energy Utility and Resources,Oil and Gas,"40 Companies - Diversified - Real estate, Aviation, automotive, Oil and Gas, Manufacturing, Finance, Education, Hospitality, IT","Doha, Qatar",0,Family Owned,Unlisted,Not Applicable,10 Million $,LEAD (0-20M),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Gulf Drilling International,Q-GDI,13/02/25,Praveen Gangadhar,EUR : Energy Utility and Resources,Oil and Gas,First onshore and offshore oil and gas drilling company in Qatar - Subsidiary of GIS,"Doha, Qatar",0,Subsidiary,Unlisted,Not Applicable,365 Million $,BRONZE (100-500M $),"1,500+ Employees",25+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Gulf Exchange,Q-GulfXchange,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Stocks and Exchanges,Principal Stock Exchange of Qatar.,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,19 Million $,LEAD (0-20M),250+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
